"text","label"
"в рф облегчили производство гидрофобных аэрогелей для аккумуляторов","Химия и материалы"
"битва за урожай российские ученые вывели особо опасных для колорадского жука микробов","Сельское хозяйство"
"подведены итоги отчетной кампании по проектам завершенным в году","Новости Фонда"
"росатом приглашает принять участие в квантовом акселераторе победители получат доступ к экспертизе и ресурсам госкорпорации","Новости Фонда"
"плазма азота и аргона удвоила емкость углеродных электродов","Химия и материалы"
"тонкая пленка знаний в итмо создали ультратонкие dкристаллы для записи и хранения информации","Физика и космос"
"цикличное дело ученые открыли тайну распространения метастазов в организме","Медицина"
"ученые вывели бактерии для очистки почвы от ракетного топлива","Биология"
"научный апрель в парке зарядье три тематических дня вместе с рнф и ведущими учеными страны","Новости Фонда"
"в тихом океане на глубине более км нашли неизвестных науке моллюсков","Науки о Земле"
"конкурс снимай науку вводит новую номинацию","Новости Фонда"
"рнф утвердил результаты экспертизы заявок по совместному с dst конкурсу","Новости Фонда"
"открывая миры лауреаты премии президента стали героями совместного проекта национального центра россия и российского научного фонда","Новости Фонда"
"рнф подвел итоги конкурсов отдельных научных групп включая продление и конкурса междисциплинарных проектов","Новости Фонда"
"российские ученые нашли еще один фактор связанный с развитием шизофрении","Медицина"
"в новосибирске впервые исследовали останки крупной древней фауны на кттомографе","Гуманитарные науки"
"создана дорожная карта развития квантовохимических ии","Химия и материалы"
"клеточный расчет найден способ улучшить терапию агрессивных опухолей мозга","Медицина"
"открыт прием заявок на xv молодежную премию в области науки и инноваций","Новости Фонда"
"начался прием документов на соискание премии президента российской федерации для молодых ученых за год","Новости Фонда"
"открыта регистрация на xiii всероссийский съезд советов молодых ученых и студенческих научных обществ","Новости Фонда"
"тяжелые металлы в почвах около заводов и крупных автодорог стали более подвижными","Науки о Земле"
"ставропольские ученые нашли способ обогатить горох медью","Сельское хозяйство"
"экологичный и безопасный метод синтеза виниловых соединений разработали в спбгу","Химия и материалы"
"гибридный материал разрушил органические загрязнители и собрал энергию из окружающей среды","Химия и материалы"
"тюменские историки рассказали как панельные дома спасли ссср от жилищного кризиса","Гуманитарные науки"
"повышена эффективность реакций для получения сульфоксидов","Химия и материалы"
"в красноярске определили состав флюидов золота","Науки о Земле"
"в сколтехе нашли безазотную замену тротилу","Физика и космос"
"это совершенно новая отправная точка мин чень о сотрудничестве с сибирскими учеными","Интервью"
"представители фонда и грантополучатели приняли участие в карьерной школе в спбгу","Новости Фонда"
"революция в производстве oledдисплеев искусственный интеллект раскрывает секреты иридиевых эмиттеров","Химия и материалы"
"предугадать действительность нейросети научились точнее предсказывать поведение случайных систем","Математика"
"в россии создали вживляемые импланты для соединения разорванных нервов","Медицина"
"густая порода ученые нашли способ увеличить добычу высоковязкой нефти","Химия и материалы"
"российские ученые вырастили кристаллыневидимки для компьютеров будущего","Физика и космос"
"в саратове нашли замену нейронным сетям при машинном обучении","Физика и космос"
"коммерсант низкая температура позволяет дешево получить уникальные материалы","Химия и материалы"
"проверка на прочность российские инженеры научились прогнозировать устойчивость бетона к авариям и землетрясениям","Инженерные науки"
"гранты рнф среди мер поддержки радиоэлектронной промышленности","Новости Фонда"
"ивановские ученые получили вещество для повреждения вредоносных днк","Химия и материалы"
"химики упростили синтез лекарств с амидной группой","Химия и материалы"
"создан экспресстест для выявления устойчивых к антибиотикам бактерий","Медицина"
"андрей блинов выступил на заседании участников ассоциации технологических компаний национальные чемпионы в ниу вшэ","Новости Фонда"
"пермские ученые нашли факторы влияющие на разрушение деталей при жесткой посадке самолета","Инженерные науки"
"риа новости ученые научились вычислять депрессию","Математика"
"лучевую терапию рака улучшили серебром","Химия и материалы"
"промоборудование предложили защищать от подделки цветными нанометками","Физика и космос"
"палеонтологи изучили останки гигантских морских ящериц найденных в саратовской области","Науки о Земле"
"в мгу усовершенствовали материалы сенсоров для систем электронный нос","Инженерные науки"
"ученые выяснили что арктические газоны замедляют глобальное потепление","Науки о Земле"
"улучшенный алгоритм дифференциальной эволюции нашел оптимальное решение","Математика"
"создание взаимно невидимых волноводов улучшит работу телескопов и приборов","Физика и космос"
"сохранит биологические образцы ученые создали полимерную упаковку для доставки биоматериала с орбиты","Биология"
"как ромашка роза магнолия и анютины глазки помогли создать передовые противомикробные покрытия","Медицина"
"разработан новый метод сканирующей микроскопии","Физика и космос"
"в екатеринбурге создали наноматериал для ярких и долговечных светодиодов","Физика и космос"
"научный стендап грантополучатели рнф рассказывают о своих исследованиях на сцене проекта комсомольской правды","Новости Фонда"
"создан алгоритм для определения фиброза сердца за несколько минут","Медицина"
"ученые спбгу доказали что личность художника не оказывает влияния на стоимость его картин","Гуманитарные науки"
"предложен эффективный метод лечения через волосяные фолликулы","Химия и материалы"
"исследование томских генетиков позволит улучшить диагностику ряда наследственных заболеваний","Медицина"
"российские ученые нашли вариант гена скорости","Медицина"
"ученые изучили то как влияет выпас оленей на термическую устойчивость органического вещества в почве арктической тундры","Сельское хозяйство"
"да будет свет ученые получили новые светящиеся соединения красного цвета","Химия и материалы"
"продлен срок подачи заявок на конкурсы мегагрантов рнф","Новости Фонда"
"следы от штамма ученые повысят эффективность вакцин от коронавируса","Биология"
"ученые реабилитировали литийионные аккумуляторы нового поколения опровергнув пессимистичную гипотезу","Химия и материалы"
"равнение на солнце система управления плотностью плазмы открывает перспективы российским токамакам","Интервью"
